,label,time,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_read,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out
1261,0,2023-01-05 17:38:55,0.009549188507423105,0.5395290541257934,230547456.0,210933.94422143293,760446.795989996,0.0019253784477477034,1260.8249538272112,0.0018718792406309265,0.03184749497567855,27246592.0,62415.20301903924,57406.88931135261,0.012236558477580312,0.1591987592014318,691712000.0,50820.40824105662,25603.946544405513,40528.865880431724,0.0047706756834352305,0.196355167512429,651575296.0,0.0,73860.49012141033,75868.61935946891,80475.91280165067,0.00019672659160313368,0.008555610893623427,24551424.0,9714.912919915472,3894.501931064636,0.0005997163599089103,0.026724350816533522,602390528.0,8351.087641523784,9112.654019166828
1262,0,2023-01-05 17:39:00,0.009549188507423105,0.5395290541257934,230547456.0,210933.94422143293,760446.795989996,0.0019253784477477034,1260.8249538272112,0.0018718792406309265,0.0300196290217368,27246592.0,62415.20301903924,57406.88931135261,0.012217720865048281,0.15887817068808457,691781632.0,30345.009108473645,39849.98097010192,63361.842939907816,0.00476510062302703,0.19538172994204006,651575296.0,0.0,73860.49012141033,75868.61935946891,80475.91280165067,0.00019672659160313368,0.010515381877272603,24551424.0,9658.252695604091,3877.13574785734,0.0005997163599089103,0.0295903146164489,602390528.0,6966.460411892255,7354.717494623278
1263,0,2023-01-05 17:39:05,0.009549188507423105,0.5395290541257934,230547456.0,211040.85095275383,761289.7089532759,0.0019213525135749932,1222.1595995093326,0.0018988119693380066,0.03146103244719954,27246592.0,47963.742950018444,44115.0416774253,0.012217720865048281,0.15887817068808457,691781632.0,38736.18188945511,39849.98097010192,63361.842939907816,0.00476510062302703,0.19465544788627515,651575296.0,0.0,73860.49012141033,59462.25241182012,63676.990122456446,0.00019672659160313368,0.01163578498712855,24551424.0,9658.252695604091,3877.13574785734,0.0006248052256635858,0.027750552338807015,602390528.0,8538.496172895091,9306.039750434167
1264,0,2023-01-05 17:39:10,0.009585223754219066,0.501813452089198,233635840.0,211439.82875519776,762831.1722894774,0.0019213525135749932,963.6066439014687,0.0018988119693380066,0.032139398827612596,27246592.0,45228.19281526249,41549.808014613016,0.012217720865048281,0.1598211769820948,691724288.0,38736.18188945511,40039.087630373324,63725.021931962176,0.00476510062302703,0.19465544788627515,651575296.0,0.0,59606.99072048631,74877.17478673477,80184.53600228175,0.0002055354255725358,0.01163578498712855,24551424.0,9658.252695604091,3877.13574785734,0.0006248052256635858,0.030716059783155218,602390528.0,8538.496172895091,9306.039750434167
1265,0,2023-01-05 17:39:15,0.009585223754219066,0.5449461216812048,233635840.0,211439.82875519776,762831.1722894774,0.0019213525135749932,861.7600106090244,0.0018988119693380066,0.031694788292319226,27246592.0,62345.44995337271,57309.566366179664,0.012221751583892585,0.15981254515256305,691724288.0,38736.18188945511,39881.84618035364,63536.990372811255,0.0047612852395318385,0.1953208838655648,651575296.0,0.0,59606.99072048631,74877.17478673477,80184.53600228175,0.0002055354255725358,0.010719550869192374,24551424.0,9686.028549626846,3873.6483594200745,0.0006248052256635858,0.030545916273744908,602390528.0,8651.22556624263,9698.200434377908
1266,0,2023-01-05 17:39:20,0.009585223754219066,0.5475993354059004,233635840.0,171007.89899154066,615985.7941787859,0.001920455507659875,1649.4775439265804,0.001908823557864511,0.034638195554915915,27246592.0,62345.44995337271,57309.566366179664,0.012221751583892585,0.1415956898062922,691724288.0,54493.001783653344,39881.84618035364,63536.990372811255,0.0047612852395318385,0.1555391367078765,651575296.0,0.0,59606.99072048631,60868.695344897635,65183.12299036598,0.0002055354255725358,0.010142482437599343,24551424.0,7377.37792281694,2946.3239153676363,0.0006123115446428075,0.029871823885146497,602390528.0,8461.53998612625,9370.865127341194
1267,0,2023-01-05 17:39:25,0.009626224755972789,0.5474574779355439,234496000.0,210752.26331503422,759148.5601463933,0.001920455507659875,1649.4775439265807,0.001908823557864511,0.03472981327862128,27246592.0,62099.69977182659,57099.93995436532,0.012221751583892585,0.14618580960535404,691617792.0,54493.001783653344,39881.84618035364,63536.990372811255,0.0047612852395318385,0.1680533586072066,651575296.0,0.0,74385.7717728988,75188.51012446592,80417.14657254318,0.00020039507662828084,0.00976152950846143,24551424.0,8186.56712132708,3269.4920535016327,0.0006123115446428075,0.029592781599295126,602390528.0,8461.53998612625,9370.865127341194
1268,0,2023-01-05 17:39:30,0.009626224755972789,0.5479967363190184,231567360.0,210752.26331503422,759148.5601463933,0.001920455507659875,1555.8548292413411,0.001908823557864511,0.03472981327862128,27246592.0,62099.69977182659,57099.93995436532,0.012027800182023499,0.1564490498953468,691765248.0,52052.909930397625,26765.274250757626,42694.12413653503,0.0047788912783469795,0.19706927925243972,651575296.0,0.0,74385.7717728988,75188.51012446592,80417.14657254318,0.00020039507662828084,0.011810209678655599,24551424.0,9705.154468516565,3859.726446913734,0.0006123115446428075,0.029592781599295126,602390528.0,8396.839369550638,9364.43661971831
1269,1,2023-01-05 17:39:35,0.009626224755972789,0.5481465041600757,231567360.0,211293.16858784072,761321.6199545086,0.001912319964790916,1633.5402178518905,0.001915077211822987,0.034732831184939195,27246592.0,62099.69977182659,57099.93995436532,0.012027800182023499,0.1564490498953468,691765248.0,53172.086205866806,30068.935735477822,47963.897657713926,0.0047788912783469795,0.19647420582973768,651575296.0,0.0,68922.09579379692,75188.51012446592,80417.14657254318,0.00020039507662828084,0.01182288880066024,24551424.0,9705.154468516565,3859.726446913734,0.0005996972333333082,0.029678862252999847,602390528.0,8396.839369550638,9364.43661971831
1270,1,2023-01-05 17:39:40,0.009732935952215015,0.5422363382261695,236449792.0,211734.407353164,762794.1265592647,0.001912319964790916,1633.5402178518905,0.001915077211822987,0.0312421700743461,27246592.0,60333.97377141647,55398.399492349985,0.012027800182023499,0.1564490498953468,691765248.0,51518.238704141644,32158.66004649018,51360.42135939042,0.0047788912783469795,0.19297159321113905,651575296.0,0.0,73206.50645960239,73424.58935812887,78322.43067218286,0.00019762276367181825,0.011775213810513442,24551424.0,9705.154468516565,3859.726446913734,0.0005996972333333082,0.02672415485505609,602390528.0,8396.839369550638,9364.43661971831
1271,1,2023-01-05 17:39:45,0.009732935952215015,0.5175493243604938,235970560.0,182498.59090674433,657469.2086620204,0.001912319964790916,1633.5402178518905,0.001915077211822987,0.06418508373312949,40685568.0,39155.456500923494,35887.60142048216,0.011830869083741806,0.1408651606699362,691830784.0,51518.238704141644,38444.942025126475,61400.208176998865,0.004803564706775973,0.18436919462753779,651575296.0,0.0,73206.50645960239,73424.58935812887,78322.43067218286,0.00019762276367181825,0.00909853473595027,24551424.0,9719.261628537351,3848.5579529437277,0.0005996972333333082,0.02895759052627138,602390528.0,6023.574281965301,6543.426738591632
1272,1,2023-01-05 17:39:50,0.009732935952215015,0.43310292159523606,229957632.0,164854.05696064731,593903.0314487483,0.0019119765429803403,577.2244983843088,0.005040943953384341,0.06413251693907708,40685568.0,38255.906153693904,35258.20175570342,0.011830869083741806,0.1408651606699362,691830784.0,46094.869312681505,38444.942025126475,61400.208176998865,0.004803564706775973,0.1835493777783347,651575296.0,0.0,73206.50645960239,72994.4507644072,77651.50800477235,0.00019762276367181825,0.010563089139864989,24551424.0,8567.830180300203,3437.4988897770672,0.0005735932154254775,0.028450328343716108,602390528.0,7036.885843417407,7644.19011517714
1273,1,2023-01-05 17:39:55,0.013152250800058286,0.4695064684783254,229957632.0,168016.50907343917,607129.7141484506,0.0019119765429803403,654.1764785451267,0.005040943953384341,0.060612331125072624,40685568.0,42528.844977675326,39196.31626645244,0.011830869083741806,0.13089633571389575,691814400.0,46094.869312681505,33342.240280982056,53076.90850866016,0.004803564706775973,0.1835493777783347,651575296.0,0.0,66989.11026861337,72994.4507644072,77651.50800477235,0.00020133347356317486,0.010563089139864989,24551424.0,8034.930551969847,3243.0164713171894,0.0005735932154254775,0.024264815257627814,602390528.0,7036.885843417407,7644.19011517714
1274,1,2023-01-05 17:40:00,0.013152250800058286,0.442937059698724,229539840.0,168016.50907343917,607129.7141484506,0.0019119765429803403,1326.238450974694,0.005040943953384341,0.2479244100773641,59138048.0,47479.20849460808,43780.907830190634,0.011944517985028654,0.10571244352013157,691814400.0,46094.869312681505,31043.485434147264,49354.01150183842,0.0048566956176468055,0.1356341364488032,651575296.0,0.0,66989.11026861337,62325.332492441245,66945.37292945781,0.00020133347356317486,0.007785290847838783,24551424.0,8034.930551969847,3243.0164713171894,0.0005735932154254775,0.02340012303532198,602390528.0,5689.556767264422,6180.58251445789
1275,1,2023-01-05 17:40:05,0.013152250800058286,0.41930011384462956,232161280.0,168016.50907343917,607129.7141484506,0.001912155006497098,1680.496435714652,0.010466845962812672,0.2479244100773641,59138048.0,47479.20849460807,43780.90783019063,0.011944517985028654,0.10157467132717961,691507200.0,27817.497067358156,31043.485434147264,49354.01150183842,0.0048566956176468055,0.12529116359504952,651575296.0,0.0,66989.11026861338,55031.14543114543,59727.09852709852,0.00020133347356317486,0.0069890538956462345,24551424.0,8034.930551969847,3243.0164713171894,0.0005753639203820225,0.022528173525146526,602390528.0,5337.646525174876,6176.307684961923
1276,1,2023-01-05 17:40:10,0.01858748189304741,0.3365283521872139,232161280.0,154767.74806960934,560955.7162613807,0.001912155006497098,1680.496435714652,0.010466845962812672,0.26596396833816904,59138048.0,47479.20849460807,43780.90783019063,0.011944517985028654,0.09830223161693502,691351552.0,26210.098855572418,28608.905406854163,45559.51827895508,0.0048566956176468055,0.13502121110272425,651575296.0,0.0,49389.75800025164,51603.18961724593,55938.49538055434,0.00022102874373262603,0.007442806453427072,24551424.0,7134.1894788199825,2943.0030145149767,0.0005753639203820225,0.019594742786788903,602390528.0,5337.646525174875,6176.307684961922
1277,1,2023-01-05 17:40:15,0.01858748189304741,0.3608971870287851,232161280.0,137708.46047156726,500408.7840961627,0.001912155006497098,1430.8775671551232,0.010466845962812672,0.26596396833816904,59138048.0,36092.13944246793,33334.86633760755,0.012240136353844161,0.09830223161693502,691351552.0,26210.098855572418,25188.9631325639,40097.02817625344,0.004859474157459509,0.13502121110272425,651575296.0,0.0,49389.75800025164,51603.18961724593,55938.49538055434,0.00022102874373262603,0.008045349771525368,24551424.0,5832.203478900626,2491.3027484365966,0.0005753639203820225,0.01926304342598247,602390528.0,5337.646525174875,6176.307684961922
1278,1,2023-01-05 17:40:20,0.01858748189304741,0.3084711563055777,230957056.0,119785.06254430699,436614.6035811475,0.0019043553385308743,1501.328690552552,0.022767083758202394,0.3191788927755917,59138048.0,38903.60298872046,36006.48394281198,0.012240136353844161,0.09506483396409553,691597312.0,22530.25302530253,25188.9631325639,40097.02817625344,0.004859474157459509,0.1299672663425236,651575296.0,0.0,49389.75800025164,51603.18961724593,55938.49538055434,0.00022102874373262603,0.007283451461320999,24551424.0,5597.842554996667,2381.8354443165063,0.0005595616130436986,0.01680151862383962,602390528.0,4142.680804565138,4851.00570642276
