,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,orders_ctn_read,carts_ctn_read,label,class
140,0.5211758878235374,0.744829397157866,0.8156435026488,0.7432020984821915,0.7465814494062506,0.8917428619294747,0.7103614536866962,0.9224253132576684,0.8796327066227321,0.0815789473684205,0.9013332311090992,0.9011862783162756,0.2953118178847137,0.7685045040688043,0.7385159010600546,0.6252875817395106,0.8708063698122349,0.8707308046323498,0.8499745809958311,0.6762071493449606,0.9999624920295564,0.779254999061806,0.8583719583967261,0.8746119406944473,0.3897110839360647,0.4573183919966254,0.181247383842612,0.9056763371218202,0.9220027089797308,0.8308344139847098,0.770394910212407,0.9999593032720168,0.834757775074202,0.8561515577624986,0.0,0.0,1,1
141,0.5211758878235374,0.6882202881426285,0.8156435026488,0.7474961665282813,0.7508950426431993,0.8873743837293748,0.7103614536866962,0.9286037621883816,0.7211258480509997,0.0815789473684205,0.9013332311090992,0.9011862783162756,0.2953118178847137,0.7470229018897978,0.7491166077738853,0.339984996259471,0.8708063698122349,0.8707308046323498,0.8499745809958311,0.7001290177524389,0.9999624920295564,0.5791926282226019,0.8583719583967261,0.8746119406944473,0.3897110839360647,0.4573183919966254,0.181247383842612,0.9056763371218202,0.9220027089797308,0.8725224512752038,0.7556431821117293,0.9999593032720168,0.8132082682719022,0.8345703331380948,0.0,0.0,1,1
142,0.5826534279451712,0.7299728247916691,0.8468681832346525,0.8590795855762431,0.8646927764109791,0.8873743837293748,0.7103614536866963,0.9286037621883816,0.7328837406315025,0.0815789473684205,0.6823280882793561,0.6819813826943523,0.2953118178847137,0.7470229018897978,0.7491166077738853,0.339984996259471,0.8708063698122349,0.8707308046323498,0.8499745809958311,0.7848203671922973,0.9999624920295564,0.5791926282226019,0.8583719583967261,0.8746119406944473,0.7340692572426343,0.8569189669546718,0.181247383842612,0.4745722395800733,0.49707083892218,0.8725224512752038,0.7469476257515496,0.9999593032720168,0.8132082682719022,0.8345703331380948,0.0,0.0,1,1
143,0.5826534279451712,0.8246189073768464,0.8433779993767527,0.8590795855762431,0.8646927764109791,0.8873743837293748,0.5347090774421859,0.9286037621883816,0.8006824187630461,0.0815789473684205,0.8295939782395819,0.8297003660101172,0.4174328047889952,0.6395246147372109,0.742049469964627,0.339984996259471,0.8128121785500119,0.8121621665603879,0.8604189118543785,0.7809203107369285,0.9999624920295564,0.5791926282226019,0.8030765675297455,0.8253766037016134,0.7340692572426343,0.8569189669546718,0.181247383842612,0.5567588919529257,0.5688888695313327,0.8725224512752038,0.7396980438069904,0.9999593032720168,0.6832892117680405,0.7012384494155827,0.0,0.0,1,1
144,0.5826534279451712,0.8246189073768464,0.8433779993767527,0.8157770634751678,0.8223700771434479,0.918211239851674,0.5347090774421859,0.9474587214055474,0.7147630772912876,0.0815789473684205,0.823569430493509,0.8241529165827148,0.4174328047889952,0.6604343403522814,0.4204946996466105,0.6335470363232496,0.8128121785500119,0.8121621665603879,0.8604189118543785,0.75749726186185,0.9999624920295564,0.4836542264732031,0.7928498327281518,0.8146909475277475,0.7340692572426343,0.8569189669546718,0.181247383842612,0.6248997968879896,0.6385143446474589,0.9273771057878262,0.7234476303251595,0.9999593032720168,0.6469855914260209,0.6691948526249183,0.0,0.0,1,1
145,0.635939375315715,0.8246189073768464,0.8433779993767527,0.8138636289249699,0.8197116538028346,0.918211239851674,0.1902255122772707,0.9474587214055474,0.669950568715182,0.0815789473684205,0.823569430493509,0.8241529165827148,0.4174328047889952,0.7262639661551146,0.4204946996466105,0.7653715019996195,0.8081493273548245,0.8065499221066956,0.8604189118543785,0.75749726186185,0.9999624920295564,0.432920824335876,0.7928498327281518,0.8146909475277475,0.5739971969507397,0.968310638374439,0.181247383842612,0.8176908592207657,0.835505701393515,0.9273771057878262,0.7131865544946504,0.9999593032720168,0.7720617375202368,0.7985645236989335,0.0,0.0,1,1
146,0.635939375315715,0.82107961418746,0.8614521657837333,0.8141315246450781,0.8204176269571051,0.918211239851674,0.2137560424815298,0.9474587214055474,0.7756703472969728,0.0815789473684205,0.812170591119783,0.8128369248826335,0.4313494225563044,0.7188491886095909,0.4310954063604413,0.7653715019996195,0.8096708638912697,0.8062534070809653,0.8663399988143721,0.7509103025353114,0.9999624920295564,0.7295649176176562,0.5374709736297097,0.5487880970338013,0.5739971969507397,0.9998274792359422,0.181247383842612,0.8176908592207657,0.835505701393515,0.9273771057878262,0.578236441690845,0.9999593032720168,0.7747688039794097,0.7811051901263821,0.0,0.0,1,1
147,0.635939375315715,0.82107961418746,0.8614521657837333,0.8141315246450781,0.8204176269571051,0.8942905975887623,0.2372865726857888,0.9486284621714938,0.7750316135617232,0.0815789473684205,0.8186835014541155,0.8182961888463298,0.4313494225563044,0.6632045750100153,0.4310954063604413,0.6278365888851157,0.8096708638912697,0.8062534070809653,0.8663399988143721,0.6767147970192077,0.9999624920295564,0.7874261933727553,0.4605945537325213,0.4687636602684307,0.5739971969507397,0.9994715361044516,0.181247383842612,0.8211719167348128,0.831600722325907,0.9546970368520964,0.5132372138580567,0.9999593032720168,0.7747688039794097,0.7811051901263821,0.0,0.0,1,1
148,0.6413674573345135,0.82107961418746,0.8614521657837333,0.8141315246450781,0.8204176269571051,0.8942905975887623,0.2381242595610604,0.9486284621714938,0.7759069020631062,0.0815789473684205,0.8187155913051605,0.8179358388524468,0.4313494225563044,0.7198812083079464,0.4840989399293676,0.6278365888851157,0.8096708638912695,0.8062534070809652,0.8663399988143721,0.7612881278994289,0.9999624920295564,0.7281345696950506,0.7886274407131293,0.8006354098508197,0.3350698591113569,1.0,0.181247383842612,0.8211719167348128,0.831600722325907,0.9546970368520964,0.4424660062105905,0.9999593032720168,0.7711210320697406,0.7671206796704013,0.0,0.0,1,1
149,0.6413674573345135,0.8184513129603455,0.9500779058896848,0.6575435025236553,0.6626205516322428,0.8942905975887623,0.5187114544039281,0.9486284621714938,0.6994129077433129,0.0815789473684205,0.7067105822215504,0.7057023881942684,0.4660776617514694,0.7159688551070169,0.4628975265018198,0.804958971647043,0.8063662711072752,0.8034839740526973,0.8778316324887938,0.7632775975736941,0.9999624920295564,0.7281345696950506,0.7886274407131293,0.8006354098508197,0.3350698591113569,1.0,0.181247383842612,0.8224782251906548,0.8224952674067748,0.9546970368520964,0.714081224847259,0.9999593032720168,0.775367552233727,0.7745162164521359,0.0,0.0,1,1
