,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,carts_ctn_read,orders_ctn_read,label,class
788,0.1201584477337698,0.999235154041798,0.9569234670428072,0.2933288292544988,0.2982162503228149,0.3547457759804497,0.6389885000618275,0.620275531648876,0.3311033831710683,0.1005291005290995,0.2921535241595643,0.291871260389011,0.8581227357758602,0.3034374869342959,0.8178343949044518,0.3423264715429395,0.2952098785059877,0.2934141559631138,0.9210050117247344,0.3127922315223418,0.9964688246768316,0.5232913950490422,0.2972795213306825,0.3188902702962282,0.2149783477449419,0.2889352095233445,0.0146341463414607,0.2936824943648573,0.3072336842921379,0.7455557963491947,0.2765642439240787,0.7833333333333599,0.2715496629724558,0.2924474261418898,0.0,0.0,2,2
789,0.1201584477337698,0.9982904449036148,0.99792383156093,0.2942936927164777,0.299128222123009,0.3691601615346581,0.6837012195339478,0.6246492818385941,0.3347825596709757,0.1005291005290995,0.2952049894189976,0.2950864522652711,0.8581227357758602,0.3044211512552836,0.8178343949044518,0.3847837256829693,0.2952098785059877,0.2934141559631138,0.9210050117247344,0.3140833801866292,0.9964688246768316,0.5232913950490422,0.2435186768170345,0.2581719832584812,0.2149783477449419,0.2939648000123492,0.0146341463414607,0.294505984732778,0.311322595605372,0.76679650029978,0.2697499726492398,0.7833333333333599,0.2188064210723919,0.2356452000915582,0.0,0.0,2,2
790,0.1201477469784531,0.9985963713475812,0.99792383156093,0.2940996600828916,0.2986987182845284,0.3691601615346581,0.8508376380604469,0.6246492818385941,0.3347825596709757,0.1005291005290995,0.2406179716845633,0.2397592716453188,0.8581227357758602,0.3042894836834308,0.878980891719749,0.3296389620200655,0.2952098785059877,0.2934141559631138,0.9210050117247344,0.2981211855056146,0.9964688246768316,0.4966194600962427,0.3071041686015143,0.3250541548559768,0.2663586805400152,0.3024156130476182,0.0146341463414607,0.294505984732778,0.311322595605372,0.76679650029978,0.2603766956067219,0.7833333333333599,0.187602671959826,0.1952115996013533,0.0,0.0,2,2
791,0.1201477469784531,0.9985963713475812,0.99792383156093,0.2940996600828916,0.2986987182845284,0.3691601615346581,0.7562305789840826,0.6246492818385941,0.303935672863631,0.1005291005290995,0.2951378030216504,0.2950299821828496,0.8650373246838283,0.2819104370345882,0.878980891719749,0.3967198868953211,0.1906462698126138,0.1873681100879734,0.9403709777485432,0.3232365084296554,0.9964688246768316,0.4966194600962427,0.3071041686015143,0.3250541548559768,0.2663586805400152,0.3024156130476182,0.0146341463414607,0.2480786447967637,0.2461588812442768,0.76679650029978,0.2603766956067219,0.7833333333333599,0.2592354848438986,0.2927625257925023,0.0,0.0,2,2
792,0.1201477469784531,0.9137198504668528,0.982217855048576,0.2963119989864528,0.3007403807386801,0.3530180341510138,0.7562305789840826,0.6237812878543448,0.3342997423605895,0.1005291005290995,0.2951378030216504,0.2950299821828496,0.8650373246838283,0.2745200941802186,0.8726114649681449,0.3967198868953211,0.3036073602541147,0.2973575740604245,0.9403709777485432,0.3232365084296554,0.9964688246768316,0.4966194600962427,0.3071041686015143,0.3250541548559768,0.2663586805400152,0.2702371158359183,0.0146341463414607,0.2953179075882843,0.3084620499210357,0.723662207338684,0.2522822990279945,0.7833333333333599,0.2592354848438986,0.2927625257925023,0.0,0.0,2,2
793,0.1220146713096358,0.9993278927948248,0.9788737974864098,0.2966776633273366,0.3017533020125021,0.3530180341510138,0.7562305789840826,0.6237812878543448,0.3319927989091902,0.3148148148148149,0.2943512953664742,0.2939147940980655,0.8650373246838283,0.2986303682000267,0.7987261146496678,0.3217920373669751,0.3036073602541147,0.2973575740604245,0.9403709777485432,0.2918575934224662,0.9964688246768316,0.4847129938847133,0.3113843839197601,0.3271590211476623,0.2773577043321774,0.2564748114614389,0.0146341463414607,0.2957303963845591,0.315942081636692,0.723662207338684,0.2522822990279945,0.7833333333333599,0.2598091450733631,0.3111508030694183,0.0,0.0,2,2
794,0.1220146713096358,0.9980786110828548,0.9762746247840628,0.2966776633273366,0.3017533020125021,0.3530180341510138,0.6462994276795007,0.6237812878543448,0.3319927989091902,0.3148148148148149,0.294109572237718,0.2936054733715901,0.8647995353955192,0.2971124123714455,0.7923566878980921,0.369529588478844,0.3036073602541147,0.2973575740604245,0.9550442903602956,0.3231787604157004,0.9964688246768316,0.4847129938847133,0.3113843839197601,0.3271590211476623,0.2773577043321774,0.2972517102184494,0.0146341463414607,0.2957303963845591,0.315942081636692,0.723662207338684,0.2515998281883362,0.7833333333333599,0.2598091450733631,0.3111508030694183,0.0,0.0,2,2
795,0.1220146713096358,0.9980786110828548,0.9762746247840628,0.2348247956324332,0.2370272851458638,0.3645128872384536,0.6462994276795005,0.61203589453561,0.3258506534046859,0.7830687830687832,0.2943857919360739,0.2940498573885162,0.8647995353955192,0.2982788845278036,0.7923566878980921,0.369529588478844,0.30353000997859,0.2981739388571957,0.9550442903602956,0.2862793102298892,0.9964688246768316,0.4847129938847133,0.3121851571258376,0.3291309763378979,0.2773577043321774,0.2972517102184494,0.0146341463414607,0.301693014900486,0.3219707211536459,0.7363013690039014,0.2547466985373989,0.7833333333333599,0.2698163670903695,0.3109923511960529,0.0,0.0,2,2
796,0.1201957457466824,0.9985140470367958,0.9752603134855856,0.2597490788368433,0.2628220553371866,0.3645128872384536,0.6462994276795005,0.61203589453561,0.3187903695945254,0.9973544973544968,0.2943857919360739,0.2940498573885162,0.8647995353955192,0.2956433017103098,0.8127388535031912,0.0954438200582536,0.30353000997859,0.2981739388571957,0.9550442903602956,0.271873832299681,0.9964688246768316,0.2431581208183969,0.3188114780034248,0.3340723668375227,0.2590023511193021,0.261561209306383,0.0146341463414607,0.301693014900486,0.3219707211536459,0.7363013690039014,0.2552153996735115,0.7833333333333599,0.2698163670903695,0.3109923511960528,0.0,0.0,2,2
797,0.1201957457466824,0.927022918879136,0.9752603134855856,0.2582237127047334,0.2612434154014777,0.3645128872384536,0.6190517390551998,0.61203589453561,0.3187903695945254,0.9973544973544968,0.294442170531682,0.2942080261100285,0.8654453999888446,0.269498130391591,0.8127388535031912,0.1154383906418071,0.30353000997859,0.2981739388571957,0.948744851845968,0.3155288884453504,0.9964688246768316,0.309274981277694,0.3188114780034248,0.3340723668375227,0.2590023511193021,0.2552504366717055,0.0146341463414607,0.301693014900486,0.3219707211536459,0.7363013690039014,0.2579619696324325,0.7833333333333599,0.2728356803735585,0.3144179313295874,0.0,0.0,2,2
