,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,security_cpu,security_rx,security_tx,label,class
11,7.583303126551536e-06,0.0,0.0,0.2388367692955807,0.8536585365853658,0.7421875,0.0128622461593466,0.0,0.0,0.344711869532139,0.9016393442622952,1.0,0.0035709018985637,0.0,0.0,0.0101579344841985,0.0918854415274463,0.0306996283729196,0,2
22,1.4802957793949471e-05,0.2101528384279475,0.4691358024691358,0.215247224628566,0.0,0.0,0.0269243165818141,0.381392483056069,0.4513568868407578,0.2841030834234136,0.0,0.0,0.0147224484256972,0.4206939281288724,0.4598976109215017,0.0474733592174353,0.4383054892601432,0.4793989335918565,0,2
31,2.065018792808633e-06,0.0,0.0,0.2248508849741301,0.8536585365853658,0.7421875,0.0103955320154191,0.0,0.0,0.2144990281311747,0.0,0.0,0.004855208891252,0.0,0.0,0.0076926425772747,0.0918854415274463,0.0306996283729196,0,3
60,1.0301769626466984e-05,0.0,0.0,0.2353434503607538,0.8536585365853658,0.7421875,0.004780675012705,0.0,0.0,0.0796379092319117,0.0,0.0,0.0011574797248142,0.0,0.0,0.0096440610201416,0.0918854415274463,0.0306996283729196,0,3
61,5.237305726406692e-06,0.1050764192139737,0.2345679012345679,0.0403595151777661,0.0,0.0,0.0029820990743532,0.0,0.0,0.298985270121793,0.9016393442622952,1.0,0.0011574797248142,0.0,0.0,0.0096440610201416,0.0918854415274463,0.0306996283729196,0,3
70,4.93001780345851e-06,0.0,0.0,0.257672507654151,0.8536585365853658,0.7421875,0.0104907113298427,0.0,0.0,0.1969937301830089,0.9016393442622952,1.0,0.0049983355622677,0.0,0.0,0.0021061544339111,0.0,0.0,0,2
81,5.819193315898857e-06,0.3938318777292576,0.4888888888888889,0.1857001248991313,0.0,0.0,0.0100752022776648,0.0,0.0,0.1604600493716395,0.4508196721311475,0.5,0.0043839949375701,0.0,0.0,0.0495867102609437,0.5,0.3664566165777993,0,3
82,5.819193315898857e-06,0.3938318777292576,0.4888888888888889,0.1857001248991313,0.0,0.0,0.0275030996500162,0.381392483056069,0.4513568868407578,0.1604600493716395,0.4508196721311475,0.5,0.0107500259554561,0.4206939281288724,0.4594709897610921,0.0495867102609437,0.5,0.3664566165777993,0,2
141,1.956735509829337e-06,0.0,0.0,0.1401290006289457,0.4268292682926829,0.37109375,0.0329014439656637,0.381392483056069,0.4513568868407578,0.2368474770181661,0.9016393442622952,1.0,0.0028719261752673,0.0,0.0,0.1143324655939868,1.0,0.7329132331555986,0,2
142,2.021345939317716e-05,0.7876637554585152,0.9777777777777776,0.1501309438339583,0.0,0.0,0.0329014439656637,0.381392483056069,0.4513568868407578,0.1158342165560255,0.0,0.0,0.028857932059402,0.8413878562577448,0.9189419795221844,0.1143324655939868,1.0,0.7329132331555986,0,2
143,2.021345939317716e-05,0.7876637554585152,0.9777777777777776,0.1501309438339583,0.0,0.0,0.0012408671950019,0.0,0.0,0.0985284186732801,0.0,0.0,0.028857932059402,0.8413878562577448,0.9189419795221844,0.0086313203557435,0.0,0.1330586524478914,0,2
150,8.780138921163343e-06,0.0,0.0,0.2199231544002468,0.8536585365853658,0.7421875,0.0050896848273958,0.0,0.0,0.0198195357200425,0.0,0.0,0.0012889388890096,0.0,0.0,0.0070576706085133,0.0918854415274463,0.0306996283729196,0,3
151,8.780138921163343e-06,0.0,0.0,0.0429045945673328,0.0,0.0,0.0050896848273958,0.0,0.0,0.3902552545966906,0.9016393442622952,1.0,0.0017033592740304,0.0,0.0,0.0070576706085133,0.0918854415274463,0.0306996283729196,0,3
160,5.470512476671141e-06,0.0,0.0,0.1742849079721839,0.8536585365853658,0.7421875,0.0062410764603108,0.0,0.0,0.095494093002933,0.0,0.0,0.0011182644355413,0.0,0.0,0.0053925173029594,0.0459427207637231,0.0153498141864598,0,3
180,3.4674823381640334e-06,0.0,0.0,0.138724627082641,0.8536585365853658,0.7421875,0.006847535317202,0.0,0.0,0.0700165651677697,0.0,0.0,0.0007027120480165,0.0,0.0,0.0030981315469156,0.0,0.0,0,3
201,5.735662764893236e-06,0.1050764192139737,0.2345679012345679,0.3010649430982104,0.0,0.0,0.0034741872965787,0.0,0.0,0.3620265505346805,0.9016393442622952,1.0,0.0257746939736908,0.8413878562577448,0.9189419795221844,0.0127558039323696,0.0918854415274463,0.0306996283729196,0,2
202,9.982077868408936e-06,0.5775109170305677,0.508641975308642,0.3010649430982104,0.0,0.0,0.0272666511990245,0.381392483056069,0.20942140296979,0.3620265505346805,0.9016393442622952,1.0,0.0017276435935683,0.0,0.0,0.0519549545547431,0.4540572792362768,0.4846501858135401,0,2
203,9.982077868408936e-06,0.5775109170305677,0.508641975308642,0.0277192261593962,0.0,0.0,0.0133273482980599,0.0,0.4838709677419355,0.0447498263627677,0.0,0.0,0.0017276435935683,0.0,0.0,0.0519549545547431,0.4540572792362768,0.4846501858135401,0,3
211,8.686377647891909e-06,0.0,0.0,0.0659647642046803,0.0,0.0,0.0107286267727982,0.0,0.0,0.3079368639663092,0.9016393442622952,1.0,0.005248823356834,0.0,0.0,0.0119642834931099,0.0918854415274463,0.0306996283729196,0,3
221,2.7158416726038124e-06,0.1050764192139737,0.2345679012345679,0.1244843460744291,0.0,0.0,0.0044435952920812,0.0,0.0,0.3445312460962852,0.9016393442622952,1.0,0.0023550344876384,0.0,0.0,0.0084910575462226,0.0918854415274463,0.0306996283729196,0,3
250,3.574508145733572e-06,0.0,0.0,0.2216279088740684,0.8536585365853658,0.7421875,0.0042156969957438,0.0,0.0,0.2974244319476221,0.9016393442622952,1.0,0.0023640296088007,0.0,0.0,0.001328129858822,0.0,0.0,0,2
251,3.574508145733572e-06,0.0,0.0,0.2216279088740684,0.8536585365853658,0.7421875,0.0042156969957438,0.0,0.0,0.2974244319476221,0.9016393442622952,1.0,0.0023640296088007,0.0,0.0,0.001328129858822,0.0,0.0,0,2
262,7.130776793776056e-06,0.1580240174672489,0.3975308641975308,0.1741762516613661,0.0,0.0,0.0274259730949075,0.381392483056069,0.20942140296979,0.2412968096460316,0.0,0.0,0.031687673229967,0.8413878562577448,0.919368600682594,0.06218467744085,0.4540572792362768,0.4844886088221037,0,2
263,7.130776793776056e-06,0.1580240174672489,0.3975308641975308,0.1366553362486353,0.0,0.0,0.0150129658552037,0.0,0.4838709677419355,0.096524719964275,0.0,0.0,0.031687673229967,0.8413878562577448,0.919368600682594,0.0171541407159293,0.0,0.0,0,2
