,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_read,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_read,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,label,class
196,0.0451473277666571,0.8783056088411945,0.7141104294478531,0.9818225813679448,0.9808513486484814,0.0032792112986073,0.7951596355440258,0.9262864804056192,0.8992179091968004,0.0,0.8746541301804999,0.8750191029003885,0.0561517330289039,0.8644131337959264,0.921232876712338,0.0,0.7786965417326321,0.7992469174807688,0.7917889534673246,0.9547999814172592,0.8579131649744892,0.9976534488045103,0.0,0.6119900652089757,0.9489288778700308,0.9562387251320504,0.2668375692045426,0.9086501262507176,0.4873294346978554,0.8802550366771811,0.8780297066137681,0.9120000991693432,0.8435984529743751,0.0550458715595141,0.9089711510261618,0.9011401135592664,1,1
197,0.0451473277666571,0.8377829050151157,0.7141104294478531,0.8063375487660034,0.8067828712142296,0.0065491742463932,0.9726949806949806,0.9246675453700668,0.7650863012397386,0.0,0.8746541301804999,0.8750191029003885,0.0561517330289039,0.8006466398442946,0.8732876712329016,0.0,0.7786965417326321,0.7992469174807684,0.7917889534673245,0.9547999814172592,0.8579131649744892,0.9976534488045103,0.0,0.6119900652089757,0.7782137679485321,0.7818487312149324,0.2668375692045426,0.7964194917638054,0.4873294346978554,0.8507867805267223,0.8507759188558799,0.933341021062546,0.8384030368500422,0.0550458715595141,0.6165607041679642,0.6028032516733298,1,1
198,0.071075436855009,0.8149282957956638,0.7141104294478531,0.8063375487660034,0.8067828712142296,0.0065491742463932,0.7510355579209511,0.9246675453700668,0.7133879105622767,0.0,0.7888841280277477,0.7898385443145448,0.0561517330289039,0.7255093892177696,0.6780821917808453,0.0,0.7786965417326321,0.6976642112265239,0.6864695451502574,0.9547999814172592,0.7970171172481527,0.9976534488045103,0.0,0.6119900652089757,0.7220927299754144,0.734604134662878,0.2896640880962398,0.7964194917638054,0.4873294346978554,0.7532933121172896,0.7447628811538067,0.933341021062546,0.7260826206013822,0.0550458715595141,0.7151861458507659,0.7165090269732496,1,1
199,0.071075436855009,0.683593424798816,0.8114891243725602,0.8063375487660034,0.8067828712142296,0.0065491742463932,0.7510355579209511,0.9246675453700668,0.7133879105622767,0.0,0.6929234252632867,0.6940752367124636,0.1126323530081232,0.7255093892177696,0.6780821917808453,0.0,0.9100212432004308,0.6049041321642896,0.5932241364142998,0.9739794447298004,0.7107642340993163,0.9976534488045103,0.0,0.5484247815784962,0.7220927299754144,0.734604134662878,0.2896640880962398,0.7866536218346395,0.4873294346978554,0.7532933121172896,0.7447628811538067,0.933341021062546,0.6764773611126065,0.0550458715595141,0.7151861458507659,0.7165090269732496,1,1
200,0.071075436855009,0.683593424798816,0.8114891243725602,0.4013917495783045,0.3997694521235236,0.0135958534168555,0.5093360026453506,0.9296999233475242,0.6859413396309756,0.0,0.6238669427579899,0.6254449059510012,0.1126323530081232,0.6096524078409499,0.6780821917808453,0.0,0.6705355520769607,0.6049041321642896,0.5932241364142998,0.9739794447298004,0.6322542957347136,0.9976534488045103,0.0,0.5484247815784962,0.7220927299754144,0.734604134662878,0.2896640880962398,0.5829148621000521,0.4873294346978554,0.3157552391488394,0.265553673723621,0.9379910110427384,0.6447124199843316,0.0550458715595141,0.6454133624874032,0.6369438365352871,1,1
201,0.1158455988206749,0.5374443837225187,0.7187953151143338,0.5002318498938098,0.4999119983241337,0.0135958534168555,0.627544106706345,0.9296999233475242,0.5527092155632166,0.0,0.6238669427579899,0.6254449059510012,0.1126323530081232,0.5895581341878524,0.7534246575341967,0.0,0.835839679425098,0.6049041321642896,0.5932241364142998,0.9739794447298004,0.5147119520548132,0.9976534488045103,0.0,0.385138340678797,0.5329662482512046,0.5525266246657331,0.2197406680239608,0.5576271741580614,0.4873294346978554,0.3972549002052671,0.383303980679595,0.9379910110427384,0.614562274364334,0.0550458715595141,0.5601933237508296,0.5495808913899398,1,1
202,0.1158455988206749,0.4097342917494859,0.7187953151143338,0.5002318498938098,0.4999119983241337,0.0135958534168555,0.627544106706345,0.9296999233475242,0.4799506005307006,0.0,0.2321236531060301,0.2338976233971067,0.2049142549309403,0.542093990628892,0.7534246575341967,0.0,0.835839679425098,0.4336588857835968,0.4202284640667111,0.9749519355233144,0.5291277678412389,0.9976534488045103,0.0,0.4669012755196591,0.5329662482512046,0.5525266246657331,0.2197406680239608,0.5576271741580614,0.4873294346978554,0.4784390381003635,0.4821245664619917,0.9379910110427384,0.2694800604215909,0.0550458715595141,0.5601933237508298,0.5495808913899399,1,1
203,0.1158455988206749,0.4238222580989808,0.7694366982710541,0.4764108397459031,0.4768589244761585,0.0224849704726322,0.6335499927613164,0.9353423428134154,0.4799506005307006,0.0,0.3195502611545491,0.3216781849367044,0.2049142549309403,0.4811134043552472,0.7534246575341967,0.0,0.835839679425098,0.4360867042463089,0.4185740915495771,0.9749519355233144,0.3679013331583977,0.9976534488045103,0.0,0.4669012755196591,0.508326859265836,0.5308757197785505,0.2197406680239608,0.4660920342388709,0.4873294346978554,0.4784390381003635,0.4821245664619917,0.8957119246538008,0.2694800604215909,0.0550458715595141,0.518649254517846,0.5171486133517632,1,1
204,0.174985366670692,0.4597651585404224,0.7582822085889571,0.4764108397459031,0.4768589244761585,0.0224849704726322,0.7598446095936685,0.9353423428134154,0.4275130647599041,0.0,0.3541785946129961,0.3565371126498281,0.2049142549309403,0.3999346008578707,0.6438356164383094,0.0,0.5773449273116322,0.4360867042463089,0.4185740915495771,0.9749519355233144,0.4481622054361355,0.9976534488045103,0.0,0.431664067984392,0.4004951221405398,0.4265179908498018,0.1672508330115101,0.3976197335024012,0.4873294346978554,0.4582839706175376,0.4603090946036603,0.8957119246538008,0.2650323025721585,0.0550458715595141,0.4020120201181016,0.4015160006000404,1,1
205,0.174985366670692,0.4386953457040604,0.7582822085889571,0.4137159379667323,0.4146048559178391,0.0224849704726322,0.7598446095936685,0.9353423428134154,0.4279813411172631,0.0,0.4145209046214551,0.4169258275769196,0.2454180022524597,0.4403227626932128,0.7945205479452397,0.0,0.1969819508012962,0.4309693555447945,0.4120920883700985,0.972946925381969,0.4215667210930013,0.9976534488045103,0.0,0.3385266868535162,0.4004951221405398,0.4265179908498018,0.1672508330115101,0.3976197335024012,0.4873294346978554,0.4093594973381347,0.4109524767704978,0.8957119246538008,0.3758384305319335,0.0550458715595141,0.3908631846629485,0.3989764109574169,1,1
