,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
56,0.0899579718029536,0.0,0.0,0.1617394613428594,0.4268292682926829,0.37109375,0.0058286651715562,0.0,0.0,0.1833510029275703,0.0,0.0,0.0028531410541286,0.0,0.0,0.8859935089461429,0.0730966394531991,0.0307542894140498,0,1
57,0.0836440509882295,0.1225334182049649,0.2056277056277056,0.1624468777770934,0.0,0.0,0.0044080368101237,0.0,0.0,0.0213149261240454,0.0,0.0,0.00357322386071,0.0794797687861271,0.0405117270788912,0.8859935089461429,0.0730966394531991,0.0307542894140498,0,1
63,0.2072314837899774,0.0,0.0,0.0851033408708965,0.0,0.0,0.0081646603152478,0.0,0.0,0.2571158947868507,0.0,0.0,0.0023565676806335,0.0,0.0,0.7904806247088902,0.0,0.0,0,1
64,0.2072314837899774,0.0,0.0,0.2199352414806472,0.0,0.0,0.0081646603152478,0.0,0.0,0.2571158947868507,0.0,0.0,0.0012155896174731,0.0,0.0,0.7904806247088902,0.0,0.0,0,1
70,0.0929881493175894,0.6734563971992361,0.4458874458874459,0.2013204666836775,0.0,0.0,0.0301595790594173,0.7627849661121381,0.4188428059395801,0.2157837592020864,0.0,0.0,0.0068696627688793,0.0,0.0,0.6415345378628531,0.7224226314790203,0.7034639041761088,0,2
71,0.122887803645028,0.0,0.0,0.2013204666836775,0.0,0.0,0.0301595790594173,0.7627849661121381,0.4188428059395801,0.3675206114123389,0.8208955223880597,1.0,0.0203986602481471,0.4205202312138728,0.459275053304904,0.3988456222329159,0.0,0.133538361929427,0,2
77,0.1008202122996133,0.1225334182049649,0.2056277056277056,0.1834795385955496,0.0,0.0,0.0067113157475013,0.0,0.0,0.1447414797053089,0.0,0.0,0.0055271522016114,0.1589595375722543,0.0810234541577825,0.8954012815546378,0.0,0.0,0,1
78,0.1225977296967485,0.0,0.0,0.073025239104995,0.0,0.0,0.0067113157475013,0.0,0.0,0.3386331021454367,0.0,0.0,0.0055033721600702,0.0,0.0,0.8954012815546378,0.0,0.0,0,1
81,0.07886679193613,0.0,0.0,0.1669320211521033,0.0,0.0,0.0029984665162477,0.0,0.0,0.1129425164772178,0.0,0.0,0.0038608561853777,0.0,0.0,0.8752801403617889,0.0,0.0,0,1
106,0.0938814708727256,0.0,0.0,0.1912919148636639,0.0,0.0,0.0042782762649688,0.0,0.0,0.1581103437547736,0.0,0.0,0.0033067171280551,0.0794797687861271,0.0405117270788912,0.7760376028856044,0.0730966394531991,0.0307542894140498,0,1
